Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
DSKY ,13514,18.68905,12/2/2014,99,18.339,18.99,436905,buy,Dilbert
DSL  ,5,21.166633,12/2/2014,101222539.7,21.15,21.1599,364357,buy,Dilbert
DSNKY,40500,15.012554,12/2/2014,710784471.9,99,99,2045532,buy,Dilbert
DST  ,2326,97.912111,12/2/2014,38221465.3,97.79,98.18,225427,buy,Dilbert
DSU  ,2340,3.784,12/2/2014,186221773.4,3.77,3.79,574241,buy,Dilbert
DSW  ,67865,34.513642,12/2/2014,82568464.77,34.1,34.82,1378965,buy,Dilbert
DSX  ,3200,7.0595,12/2/2014,82220326.28,6.96,7.15,1911468,buy,Dilbert
DTE  ,128204,81.922638,12/2/2014,176002688.6,81.03,82.26,988967,buy,Dilbert
DTEGY,4732,16.663257,12/2/2014,4611497410,99,99,19429528,buy,Dilbert
DTSI ,752,31.67,12/2/2014,16947230.19,31.3,31.67,143054,buy,Dilbert
DTV  ,56092,87.232978,12/2/2014,505100566.4,86.79,87.69,2328495,buy,Dilbert
DTZ  ,6,26.49,12/2/2014,11170403.93,26.49,26.49,14919,buy,Dilbert
DUK  ,154210,82.039666,12/2/2014,706898061.1,80.84,82.65,3174700,buy,Dilbert
DV   ,40390,48.872825,12/2/2014,63586166.28,48.64,49.14,215469,buy,Dilbert
DVA  ,257532,75.682209,12/2/2014,215832362.6,75.58,76.1,866135,buy,Dilbert
DVAX ,500,15.126,12/2/2014,24492557.75,15.04,15.22,281938,buy,Dilbert
DVN  ,126167,59.598628,12/2/2014,411461584.7,57.74,61.1917,4325485,buy,Dilbert
DVY  ,3977,78.849524,12/2/2014,193635407.7,78.63,79.1,645843,buy,Dilbert
DVYE ,59229,43.858233,12/2/2014,5595118.415,43.8993,43.9699,63994,buy,Dilbert
DW   ,20804,47.246621,12/2/2014,23471741.76,46.78,47.36,133672,buy,Dilbert
DWA  ,81130,21.860458,12/2/2014,79686847.88,21.45,22.46,1667491,buy,Dilbert
DWAHY,1411,19.373721,12/2/2014,657694619,99,99,1546331,buy,Dilbert
DWCH ,100,8.9,12/2/2014,10880760.67,8.85,8.85,33738,buy,Dilbert
DWM  ,1494,51.879289,12/2/2014,11224133.27,51.8445,51.856,21701,buy,Dilbert
DWRE ,2997,54.426022,12/2/2014,36195081.86,53.75,55.04,246728,buy,Dilbert
DWSN ,9691,12.172916,12/2/2014,8163629.123,12.1299,13.45,89916,buy,Dilbert
DX   ,29751,8.537948,12/2/2014,54430116.82,8.51,8.59,188867,buy,Dilbert
DXB  ,16,25.9801,12/2/2014,31987559.71,25.9801,25.9801,28952,buy,Dilbert
DXCM ,18427,52.788842,12/2/2014,74408337.78,51.41,53.45,683055,buy,Dilbert
DXD  ,5000,21.830094,12/2/2014,9223259.064,21.83,21.83,654625,buy,Dilbert
DXJ  ,30544,56.452793,12/2/2014,225992550.8,56.37,56.525,5330375,buy,Dilbert
DXLG ,5768,5.0724,12/2/2014,49260010.53,4.92,5.1,57049,buy,Dilbert
DXM  ,1347,8.846667,12/2/2014,17157465.78,8.81,8.9,334420,buy,Dilbert
DXPE ,29681,51.178514,12/2/2014,14842544.62,49.63,51.6,292825,buy,Dilbert
DXYN ,8606,7.565,12/2/2014,14745799.99,7.43,7.63,171717,buy,Dilbert
DY   ,2263,31.96,12/2/2014,31575975.25,31.99,32.07,384389,buy,Dilbert
